member_id,snapshot_date,snapshot_date_raw,report_month,tier,monthly_contribution_kes,days_since_last_contribution,withdrawal_surge_index,payroll_confirmation_lag_days,savings_balance_kes,loan_outstanding_kes,par30_breach_flag,last_actioned_date,regulatory_liquid_ratio_pct,loan_to_deposit_ratio_pct
STM00001,2023-01-01,01/01/2023,2023-01-01,Premium,12229.93,17.0,1.49,1,489043.14,817616.09,0,2022-11-01,10.96,63.99
STM00001,2023-02-01,2023-02-01,2023-02-01,Premium,12359.99,14.0,1.46,4,500115.92,1080698.86,0,,16.49,81.22
STM00001,2023-03-01,2023-03-01,2023-03-01,Premium,13564.05,7.0,0.82,6,511505.28,669418.04,0,,17.5,72.42
STM00001,2023-04-01,2023-04-01,2023-04-01,Premium,11734.84,,1.36,2,521427.65,965403.42,0,,20.7,85.84
STM00001,2023-05-01,2023-05-01,2023-05-01,Premium,1675251.92,21.0,0.43,8,533100.4,447860.62,0,,9.66,86.86
STM00001,2023-06-01,2023-06-01,2023-06-01,Premium,12980.53,20.0,1.18,9,541945.31,773414.23,0,2023-04-17,8.86,86.62
STM00001,2023-07-01,01/07/2023,2023-07-01,Premium,13517.96,3.0,1.16,9,550419.64,657127.32,0,,14.47,59.95
STM00001,2023-08-01,2023-08-01,2023-08-01,Premium,12833.56,18.0,0.43,7,562318.77,587800.96,0,,21.29,83.13
STM00001,2023-09-01,2023-09-01,2023-09-01,Premium,11048.07,22.0,0.77,1,569531.33,1103623.94,0,,14.88,64.17
STM00001,2023-10-01,2023-10-01,2023-10-01,Premium,11412.6,25.0,1.17,2,575039.8,480009.4,0,,9.55,81.7
STM00001,2023-11-01,2023-11-01,2023-11-01,Premium,10805.18,26.0,1.24,8,,421013.71,0,,14.6,72.39
STM00001,2023-12-01,2023-12-01,2023-12-01,Premium,11948.48,23.0,1.75,7,,434567.04,0,,16.34,56.93
STM00001,2024-01-01,01/01/2024,2024-01-01,Premium,10919.02,17.0,1.69,7,595497.32,597454.15,0,2023-11-14,17.47,65.44
