member_id,tier,rule_names_fired,trigger_metric,trigger_value,threshold,default_propensity_score,risk_band,priority_rank,constraint_override,constraint_override_reason,recommended_action,constraint_compliant_action,time_window_for_response,excluded_reason,last_actioned_date,days_since_last_contribution,withdrawal_surge_index,loan_outstanding_kes,par30_breach_flag,compliance_status,regulatory_liquid_ratio_pct,loan_to_deposit_ratio_pct
STM00111,Standard,"Contribution Gap Alert, Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.45,45 days / WSI 2.0,100.0,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.4%.,,Same day / 2 working days,,2024-10-09,117.0,1.11,58131.66,1,BREACH,9.45,77.04
STM00073,Premium,"Contribution Gap Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.29,30 days / WSI 2.0,99.9,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.3%.,,Same day / 2 working days,,2024-11-04,102.0,1.73,1017156.12,1,BREACH,9.29,80.69
STM00454,Basic,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.14,60 days / WSI 2.0,99.9,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.1%.,,Same day / 2 working days,,,68.0,1.39,58457.94,1,BREACH,19.92,82.14
STM00557,Basic,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.66,60 days / WSI 2.0,99.9,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.7%.,,Same day / 2 working days,,,81.0,1.56,79297.96,1,BREACH,14.36,82.66
STM00030,Premium,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.41,30 days / WSI 2.0,99.8,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.4%.,,Same day / 2 working days,,,74.0,1.09,1074338.64,1,BREACH,14.07,82.41
STM00442,Basic,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,83.73,60 days / WSI 2.0,99.8,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 83.7%.,,Same day / 2 working days,,,115.0,0.96,119284.46,1,BREACH,18.15,83.73
STM00258,Standard,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.47,45 days / WSI 2.0,99.7,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.5%.,,Same day / 2 working days,,2024-11-28,57.0,1.54,107563.0,1,BREACH,20.89,86.47
STM00438,Basic,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.48,60 days / WSI 2.0,99.7,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.5%.,,Same day / 2 working days,,2024-09-12,82.0,1.8,78795.92,1,BREACH,18.32,81.48
STM00369,Standard,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.13,45 days / WSI 2.0,99.6,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.1%.,,Same day / 2 working days,,,51.0,0.74,90081.49,1,BREACH,20.69,86.13
STM00474,Basic,"Contribution Gap Alert, Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.52,60 days / WSI 2.0,99.6,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.5%.,,Same day / 2 working days,,2024-10-09,70.0,1.49,82550.58,1,BREACH,8.52,72.59
STM00031,Premium,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.93,30 days / WSI 2.0,99.5,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.9%.,,Same day / 2 working days,,,108.0,1.04,394295.05,1,BREACH,10.11,86.93
STM00597,Basic,"Contribution Gap Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,83.61,60 days / WSI 2.0,99.5,HIGH,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 83.6%.,,Same day / 2 working days,,2024-11-13,83.0,1.14,57445.82,1,BREACH,13.43,83.61
STM00056,Premium,"Contribution Gap Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.54,30 days / WSI 2.0,99.1,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.5%.,,Same day / 2 working days,,2024-11-11,50.0,0.73,520858.36,1,BREACH,9.54,85.04
STM00078,Premium,"Contribution Gap Alert, Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.61,30 days / WSI 2.0,99.1,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.6%.,,Same day / 2 working days,,2024-10-11,76.0,0.89,789369.02,1,BREACH,9.61,75.76
STM00185,Standard,"Contribution Gap Alert, Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.05,45 days / WSI 2.0,94.9,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.1%.,,Same day / 2 working days,,,63.0,0.51,401339.41,1,BREACH,9.05,77.03
STM00213,Standard,"Contribution Gap Alert, Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.56,45 days / WSI 2.0,89.1,HIGH,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.6%.,,Same day / 2 working days,,,83.0,0.62,249964.59,1,BREACH,8.56,60.15
STM00093,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.95,45 days / WSI 2.0,12.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.9%.,,Same day / 2 working days,,,23.0,0.42,235980.33,0,BREACH,9.95,71.83
STM00216,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.7,45 days / WSI 2.0,9.2,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.7%.,,Same day / 2 working days,,,26.0,0.47,214368.43,0,BREACH,10.9,84.7
STM00295,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,83.82,45 days / WSI 2.0,7.2,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 83.8%.,,Same day / 2 working days,,2024-10-03,21.0,1.79,178406.35,0,BREACH,14.59,83.82
STM00137,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.27,45 days / WSI 2.0,6.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.3%.,,Same day / 2 working days,,,10.0,0.71,244946.85,0,BREACH,12.08,84.27
STM00552,Basic,"Withdrawal Surge Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.59,60 days / WSI 2.0,5.4,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.6%.,,Same day / 2 working days,,,13.0,4.17,49648.61,0,BREACH,8.59,80.35
STM00390,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,83.05,45 days / WSI 2.0,4.9,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 83.0%.,,Same day / 2 working days,,2024-09-20,,1.05,153875.38,0,BREACH,14.67,83.05
STM00033,Premium,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.97,30 days / WSI 2.0,4.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.0%.,,Same day / 2 working days,,,18.0,1.71,517111.89,0,BREACH,10.08,80.97
STM00475,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.85,60 days / WSI 2.0,4.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.8%.,,Same day / 2 working days,,,24.0,0.42,112548.65,0,BREACH,14.92,86.85
STM00533,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,87.74,60 days / WSI 2.0,4.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 87.7%.,,Same day / 2 working days,,2024-11-25,23.0,0.9,99202.56,0,BREACH,18.46,87.74
STM00384,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.94,45 days / WSI 2.0,3.7,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.9%.,,Same day / 2 working days,,,12.0,1.39,213083.35,0,BREACH,13.49,81.94
STM00236,Standard,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.52,45 days / WSI 2.0,3.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.5%.,,Same day / 2 working days,,2024-10-08,17.0,1.08,108360.87,0,BREACH,8.52,81.29
STM00057,Premium,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.68,30 days / WSI 2.0,3.0,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.7%.,,Same day / 2 working days,,2024-11-01,8.0,0.64,309873.77,0,BREACH,9.68,86.05
STM00254,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.74,45 days / WSI 2.0,3.0,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.7%.,,Same day / 2 working days,,2024-09-22,15.0,1.16,219755.55,0,BREACH,8.74,71.86
STM00332,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.27,45 days / WSI 2.0,2.9,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.3%.,,Same day / 2 working days,,2024-10-23,17.0,0.77,209552.62,0,BREACH,20.86,84.27
STM00004,Premium,LTD Ratio Breach,loan_to_deposit_ratio_pct,83.95,30 days / WSI 2.0,2.8,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.0%.,,Same day / 2 working days,,,21.0,1.32,469057.22,0,BREACH,15.12,83.95
STM00218,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.89,45 days / WSI 2.0,2.6,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.9%.,,Same day / 2 working days,,,11.0,1.41,386226.42,0,BREACH,10.82,81.89
STM00335,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.53,45 days / WSI 2.0,2.5,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.5%.,,Same day / 2 working days,,,9.0,0.84,385202.02,0,BREACH,8.53,59.35
STM00482,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.58,60 days / WSI 2.0,2.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.6%.,,Same day / 2 working days,,,21.0,0.78,73538.43,0,BREACH,20.78,82.58
STM00471,Basic,"Withdrawal Surge Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.19,60 days / WSI 2.0,2.1,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.2%.,,Same day / 2 working days,,,18.0,2.38,50819.56,0,BREACH,9.19,84.79
STM00550,Basic,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.98,60 days / WSI 2.0,1.9,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 10.0%.,,Same day / 2 working days,,2024-11-19,19.0,1.3,102638.69,0,BREACH,9.98,61.19
STM00015,Premium,"Liquidity Ratio Breach, LTD Ratio Breach",regulatory_liquid_ratio_pct,9.14,30 days / WSI 2.0,1.6,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.1%.,,Same day / 2 working days,,2024-10-13,20.0,0.98,830925.46,0,BREACH,9.14,82.75
STM00537,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.3,60 days / WSI 2.0,1.6,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.3%.,,Same day / 2 working days,,,,1.28,65851.91,0,BREACH,20.73,80.3
STM00237,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.4,45 days / WSI 2.0,1.5,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.4%.,,Same day / 2 working days,,,6.0,1.05,203966.85,0,BREACH,10.69,80.4
STM00155,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.21,45 days / WSI 2.0,1.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.2%.,,Same day / 2 working days,,,,0.96,235780.3,0,BREACH,9.21,65.17
STM00469,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.8,60 days / WSI 2.0,1.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.8%.,,Same day / 2 working days,,,10.0,1.58,96544.22,0,BREACH,12.74,84.8
STM00568,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.35,60 days / WSI 2.0,1.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.3%.,,Same day / 2 working days,,,21.0,1.75,29815.24,0,BREACH,17.62,86.35
STM00230,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.16,45 days / WSI 2.0,1.2,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.2%.,,Same day / 2 working days,,,27.0,1.07,256726.88,0,BREACH,16.36,84.16
STM00368,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.34,45 days / WSI 2.0,1.2,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.3%.,,Same day / 2 working days,,2024-11-18,21.0,0.44,234756.07,0,BREACH,9.34,79.33
STM00325,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,87.11,45 days / WSI 2.0,1.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 87.1%.,,Same day / 2 working days,,,10.0,1.07,148446.88,0,BREACH,15.94,87.11
STM00156,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.04,45 days / WSI 2.0,1.0,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.0%.,,Same day / 2 working days,,,7.0,1.14,290400.6,0,BREACH,16.77,81.04
STM00375,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.68,45 days / WSI 2.0,1.0,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.7%.,,Same day / 2 working days,,,2.0,0.8,201531.38,0,BREACH,8.68,78.2
STM00076,Premium,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.79,30 days / WSI 2.0,0.9,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.8%.,,Same day / 2 working days,,2024-09-13,15.0,1.76,283139.3,0,BREACH,9.79,78.95
STM00268,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.14,45 days / WSI 2.0,0.9,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.1%.,,Same day / 2 working days,,,10.0,0.92,147539.7,0,BREACH,9.14,55.12
STM00356,Standard,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.68,45 days / WSI 2.0,0.9,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.7%.,,Same day / 2 working days,,2024-09-29,1.0,0.66,355595.05,0,BREACH,8.68,85.03
STM00508,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.82,60 days / WSI 2.0,0.9,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.8%.,,Same day / 2 working days,,,23.0,1.55,102061.04,0,BREACH,18.36,80.82
STM00272,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.62,45 days / WSI 2.0,0.7,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.6%.,,Same day / 2 working days,,2024-11-07,,0.73,386480.91,0,BREACH,21.19,81.62
STM00432,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.68,60 days / WSI 2.0,0.7,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.7%.,,Same day / 2 working days,,,7.0,0.47,75761.66,0,BREACH,20.23,80.68
STM00515,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.73,60 days / WSI 2.0,0.7,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.7%.,,Same day / 2 working days,,,17.0,0.81,41466.64,0,BREACH,15.12,80.73
